byte_range	bit_range	length	field	hex	binary	decoded
0-3	0-31	4	version	0040a332	00000000 01000000 10100011 00110010	849559552
4-35	32-287	32	previous_block_hash	65147db4e7d0b45bc550c80dafc2eb6ac2e02581fb594eb0cfebb40000000000	01100101 00010100 01111101 10110100 11100111 11010000 10110100 01011011 11000101 01010000 11001000 00001101 10101111 11000010 11101011 01101010 11000010 11100000 00100101 10000001 11111011 01011001 01001110 10110000 11001111 11101011 10110100 00000000 00000000 00000000 00000000 00000000	0000000000b4ebcfb04e59fb8125e0c26aebc2af0dc850c55bb4d0e7b47d1465
36-67	288-543	32	merkle_root	26270c32973e108b5d13a1b57e675dfea3691b63e22e6d636ca486aae3a420af	00100110 00100111 00001100 00110010 10010111 00111110 00010000 10001011 01011101 00010011 10100001 10110101 01111110 01100111 01011101 11111110 10100011 01101001 00011011 01100011 11100010 00101110 01101101 01100011 01101100 10100100 10000110 10101010 11100011 10100100 00100000 10101111	af20a4e3aa86a46c636d2ee2631b69a3fe5d677eb5a1135d8b103e97320c2726
68-71	544-575	4	timestamp	c696616a	11000110 10010110 01100001 01101010	1784780486
72-75	576-607	4	nBits	ffff001d	11111111 11111111 00000000 00011101	0x1d00ffff
76-79	608-639	4	nonce	b40130be	10110100 00000001 00110000 10111110	3190817204
